TransactionID,Date,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod,Region,Channel
TX-10037,2026-01-02,CUST-0861,Fashion,Gamis Muslimah Premium,2,350000,0,700000,ShopeePay,Jabodetabek,Online
TX-10038,2026-01-02,CUST-0144,Home Living,Wajan Teflon Anti Lengket,3,185000,10000,545000,GoPay,Sumatera,Online
TX-10039,2026-01-02,CUST-0845,Electronics,"Smart TV Xiaomi 32""",3,1990000,0,5970000,GoPay,Jawa Barat,Offline
TX-10040,2026-01-02,CUST-0553,Fashion,Kemeja Batik Pria,2,180000,0,360000,Transfer BCA,Sumatera,Offline
TX-10041,2026-01-02,CUST-0828,Fashion,Celana Chino Slimfit,2,195000,0,390000,Transfer BCA,Jawa Timur,Offline
TX-10042,2026-01-02,CUST-0170,Electronics,Kipas Angin Cosmos,2,320000,10000,630000,Credit Card,Sulawesi,Offline
TX-10043,2026-01-02,CUST-0496,Home Living,Sprei Microfiber King,1,145000,0,145000,GoPay,Jabodetabek,Online
TX-10044,2026-01-02,CUST-0531,Home Living,Rak Sepatu Minimalis,2,125000,0,250000,Credit Card,Jawa Barat,Online
TX-10045,2026-01-02,CUST-0867,Electronics,Rice Cooker Yong Ma,3,650000,0,1950000,ShopeePay,Jawa Barat,Online
TX-10046,2026-01-02,CUST-0142,Fashion,Celana Chino Slimfit,3,195000,0,585000,Cash,Jabodetabek,Offline
TX-10047,2026-01-02,CUST-0619,Groceries,Kopi Susu Aren 1L,2,65000,2000,128000,GoPay,Jawa Barat,Online
TX-10048,2026-01-02,CUST-0196,Electronics,Air Fryer Philips,2,1200000,0,2400000,Cash,Jawa Barat,Offline
TX-10049,2026-01-02,CUST-0672,Groceries,Minyak Goreng 2L,1,38000,0,38000,Cash,Jabodetabek,Offline
TX-10050,2026-01-02,CUST-0058,Groceries,Kopi Susu Aren 1L,3,65000,0,195000,Cash,Jawa Barat,Offline
TX-10051,2026-01-02,CUST-0678,Home Living,Sprei Microfiber King,1,145000,0,145000,Cash,Kalimantan,Offline
TX-10052,2026-01-02,CUST-0616,Groceries,Sirup Cocopandan,1,22000,0,22000,ShopeePay,Jawa Barat,Online
TX-10053,2026-01-02,CUST-0611,Fashion,Kemeja Batik Pria,2,180000,0,360000,Transfer BCA,Jabodetabek,Online
TX-10054,2026-01-02,CUST-0430,Home Living,Sprei Microfiber King,1,145000,0,145000,ShopeePay,Jawa Barat,Online
TX-10055,2026-01-02,CUST-0121,Groceries,Beras Premium 5kg,1,74000,0,74000,Transfer BCA,Jawa Barat,Online
TX-10056,2026-01-02,CUST-0442,Fashion,Gamis Muslimah Premium,1,350000,0,350000,Cash,Jabodetabek,Offline
TX-10057,2026-01-02,CUST-0359,Fashion,Hijab Voal Square,1,45000,0,45000,Transfer BCA,Jabodetabek,Offline
TX-10058,2026-01-02,CUST-0917,Fashion,Kemeja Batik Pria,1,180000,0,180000,Cash,Jawa Tengah,Offline
TX-10059,2026-01-02,CUST-0325,Electronics,Rice Cooker Yong Ma,2,650000,0,1300000,Cash,Jabodetabek,Offline
TX-10060,2026-01-02,CUST-0434,Fashion,Hijab Voal Square,2,45000,0,90000,ShopeePay,Jabodetabek,Online
TX-10061,2026-01-02,CUST-0184,Fashion,Hijab Voal Square,2,45000,0,90000,ShopeePay,Jabodetabek,Online
TX-10062,2026-01-02,CUST-0876,Home Living,Sprei Microfiber King,3,145000,10000,425000,OVO,Sulawesi,Online
TX-10063,2026-01-02,CUST-0821,Fashion,Kaos Polos Cotton,1,85000,0,85000,Transfer BCA,Jawa Timur,Offline
TX-10064,2026-01-02,CUST-0615,Fashion,Kaos Polos Cotton,4,85000,2000,338000,Transfer BCA,Jawa Barat,Offline
TX-10065,2026-01-02,CUST-0672,Fashion,Hijab Voal Square,1,45000,0,45000,Cash,Jawa Tengah,Offline
TX-10066,2026-01-02,CUST-0866,Groceries,Minyak Goreng 2L,3,38000,0,114000,GoPay,Jawa Timur,Offline
TX-10067,2026-01-02,CUST-0001,Home Living,Sprei Microfiber King,2,145000,0,290000,ShopeePay,Jabodetabek,Online
TX-10068,2026-01-02,CUST-0755,Electronics,Blender Miyako,4,280000,0,1120000,Cash,Jawa Barat,Offline
TX-10069,2026-01-02,CUST-0232,Electronics,Kipas Angin Cosmos,2,320000,0,640000,OVO,Jawa Barat,Online
TX-10070,2026-01-03,CUST-0516,Groceries,Minyak Goreng 2L,4,38000,0,152000,GoPay,Jawa Tengah,Offline
TX-10071,2026-01-03,CUST-0577,Fashion,Kemeja Batik Pria,2,180000,0,360000,GoPay,Jawa Barat,Offline
TX-10072,2026-01-03,CUST-0194,Groceries,Indomie Goreng 1 Dus,3,115000,0,345000,Transfer BCA,Jabodetabek,Offline
TX-10073,2026-01-03,CUST-0362,Fashion,Kaos Polos Cotton,3,85000,0,255000,ShopeePay,Jabodetabek,Online
TX-10074,2026-01-03,CUST-0078,Fashion,Kemeja Batik Pria,2,180000,0,360000,Cash,Jabodetabek,Offline
TX-10075,2026-01-03,CUST-0953,Home Living,Bantal Kepala Serat Silikon,3,60000,10000,170000,GoPay,Jabodetabek,Online
TX-10076,2026-01-03,CUST-0857,Electronics,Kipas Angin Cosmos,1,320000,2000,318000,GoPay,Jawa Timur,Offline
TX-10077,2026-01-03,CUST-0555,Home Living,Bantal Kepala Serat Silikon,2,60000,0,120000,Transfer BCA,Jawa Barat,Offline
TX-10078,2026-01-03,CUST-0503,Groceries,Sirup Cocopandan,2,22000,0,44000,OVO,Jawa Tengah,Online
TX-10079,2026-01-03,CUST-0963,Fashion,Hijab Voal Square,2,45000,0,90000,Credit Card,Jawa Timur,Online
TX-10080,2026-01-03,CUST-0472,Groceries,Minyak Goreng 2L,1,38000,0,38000,OVO,Jabodetabek,Online
TX-10081,2026-01-03,CUST-0192,Fashion,Kemeja Batik Pria,4,180000,0,720000,OVO,Jawa Barat,Online
TX-10082,2026-01-03,CUST-0613,Fashion,Celana Chino Slimfit,4,195000,0,780000,GoPay,Jawa Barat,Offline
TX-10083,2026-01-03,CUST-0739,Groceries,Kopi Susu Aren 1L,5,65000,0,325000,OVO,Jabodetabek,Offline
TX-10084,2026-01-03,CUST-0010,Groceries,Indomie Goreng 1 Dus,3,115000,0,345000,OVO,Sumatera,Offline
TX-10085,2026-01-03,CUST-0308,Groceries,Sirup Cocopandan,1,22000,0,22000,Transfer BCA,Jawa Timur,Online
TX-10086,2026-01-03,CUST-0645,Groceries,Beras Premium 5kg,2,74000,0,148000,Transfer BCA,Jabodetabek,Offline
TX-10087,2026-01-03,CUST-0672,Groceries,Beras Premium 5kg,3,74000,10000,212000,Credit Card,Jawa Timur,Offline
TX-10088,2026-01-03,CUST-0531,Electronics,Air Fryer Philips,3,1200000,0,3600000,Cash,Jabodetabek,Offline
TX-10089,2026-01-03,CUST-0890,Groceries,Susu UHT Cokelat 1L,2,18500,0,37000,Cash,Jawa Barat,Offline
TX-10090,2026-01-03,CUST-0348,Groceries,Beras Premium 5kg,2,74000,0,148000,Transfer BCA,Jawa Barat,Online
TX-10091,2026-01-03,CUST-0962,Fashion,Hijab Voal Square,3,45000,0,135000,GoPay,Jabodetabek,Online
TX-10092,2026-01-03,CUST-0678,Groceries,Beras Premium 5kg,3,74000,0,222000,GoPay,Jabodetabek,Online
TX-10093,2026-01-03,CUST-0485,Fashion,Kaos Polos Cotton,2,85000,0,170000,ShopeePay,Kalimantan,Online
TX-10094,2026-01-03,CUST-0628,Groceries,Kopi Susu Aren 1L,4,65000,0,260000,Cash,Jabodetabek,Offline
TX-10095,2026-01-03,CUST-0573,Home Living,Rak Sepatu Minimalis,5,125000,0,625000,GoPay,Sumatera,Offline
TX-10096,2026-01-03,CUST-0913,Groceries,Sirup Cocopandan,5,22000,0,110000,GoPay,Jawa Timur,Offline
TX-10097,2026-01-03,CUST-0318,Home Living,Bantal Kepala Serat Silikon,3,60000,2000,178000,GoPay,Jabodetabek,Online
TX-10098,2026-01-04,CUST-0870,Home Living,Wajan Teflon Anti Lengket,2,185000,0,370000,Cash,Jawa Barat,Offline
TX-10099,2026-01-04,CUST-0307,Groceries,Indomie Goreng 1 Dus,2,115000,0,230000,Cash,Jawa Tengah,Offline
TX-10100,2026-01-04,CUST-0448,Fashion,Kemeja Batik Pria,3,180000,0,540000,GoPay,Jabodetabek,Online
TX-10101,2026-01-04,CUST-0246,Fashion,Hijab Voal Square,4,45000,0,180000,Cash,Jawa Timur,Offline
TX-10102,2026-01-04,CUST-0187,Groceries,Minyak Goreng 2L,3,38000,0,114000,Cash,Jawa Barat,Offline
TX-10103,2026-01-04,CUST-0250,Groceries,Sirup Cocopandan,1,22000,2000,20000,OVO,Jabodetabek,Online
TX-10104,2026-01-04,CUST-0162,Groceries,Indomie Goreng 1 Dus,1,115000,0,115000,Credit Card,Jabodetabek,Offline
TX-10105,2026-01-04,CUST-0811,Groceries,Minyak Goreng 2L,1,38000,5000,33000,Cash,Jabodetabek,Offline
TX-10106,2026-01-04,CUST-0837,Fashion,Kaos Polos Cotton,1,85000,0,85000,Credit Card,Jawa Timur,Online
TX-10107,2026-01-04,CUST-0048,Groceries,Beras Premium 5kg,1,74000,0,74000,GoPay,Kalimantan,Offline
TX-10108,2026-01-04,CUST-0530,Groceries,Beras Premium 5kg,2,74000,0,148000,OVO,Jawa Barat,Online
TX-10109,2026-01-04,CUST-0596,Home Living,Wajan Teflon Anti Lengket,1,185000,5000,180000,GoPay,Jabodetabek,Online
TX-10110,2026-01-04,CUST-0391,Groceries,Minyak Goreng 2L,5,38000,0,190000,Cash,Jabodetabek,Offline
TX-10111,2026-01-04,CUST-0703,Electronics,Blender Miyako,1,280000,0,280000,Cash,Jabodetabek,Offline
TX-10112,2026-01-04,CUST-0325,Home Living,Rak Sepatu Minimalis,2,125000,0,250000,ShopeePay,Jabodetabek,Online
TX-10113,2026-01-04,CUST-0064,Fashion,Celana Chino Slimfit,4,195000,0,780000,GoPay,Jawa Barat,Offline
TX-10114,2026-01-04,CUST-0750,Groceries,Sirup Cocopandan,3,22000,2000,64000,GoPay,Jabodetabek,Offline
TX-10115,2026-01-04,CUST-0795,Electronics,Air Fryer Philips,3,1200000,2000,3598000,ShopeePay,Jawa Barat,Online
TX-10116,2026-01-04,CUST-0105,Electronics,"Smart TV Xiaomi 32""",2,1990000,10000,3970000,GoPay,Jawa Barat,Offline
TX-10117,2026-01-04,CUST-0525,Groceries,Sirup Cocopandan,3,22000,2000,64000,GoPay,Jabodetabek,Online
TX-10118,2026-01-04,CUST-0047,Fashion,Celana Chino Slimfit,5,195000,0,975000,OVO,Jawa Timur,Online
TX-10119,2026-01-04,CUST-0073,Groceries,Kopi Susu Aren 1L,3,65000,0,195000,Transfer BCA,Sumatera,Online
TX-10120,2026-01-04,CUST-0940,Electronics,Air Fryer Philips,4,1200000,0,4800000,GoPay,Jabodetabek,Offline
TX-10121,2026-01-04,CUST-0855,Groceries,Kopi Susu Aren 1L,3,65000,10000,185000,GoPay,Jabodetabek,Online
TX-10122,2026-01-04,CUST-0584,Electronics,Kipas Angin Cosmos,3,320000,0,960000,ShopeePay,Jabodetabek,Online
TX-10123,2026-01-04,CUST-0743,Electronics,Air Fryer Philips,2,1200000,2000,2398000,GoPay,Jawa Barat,Offline
TX-10124,2026-01-04,CUST-0615,Fashion,Gamis Muslimah Premium,4,350000,0,1400000,Cash,Kalimantan,Offline
TX-10125,2026-01-04,CUST-0846,Electronics,"Smart TV Xiaomi 32""",1,1990000,0,1990000,Transfer BCA,Jabodetabek,Offline
TX-10126,2026-01-04,CUST-0738,Fashion,Celana Chino Slimfit,1,195000,0,195000,GoPay,Kalimantan,Offline
TX-10127,2026-01-04,CUST-0310,Groceries,Kopi Susu Aren 1L,1,65000,0,65000,GoPay,Jabodetabek,Offline
TX-10128,2026-01-04,CUST-0931,Fashion,Hijab Voal Square,3,45000,5000,130000,OVO,Jabodetabek,Online
TX-10129,2026-01-04,CUST-0239,Groceries,Susu UHT Cokelat 1L,1,18500,0,18500,GoPay,Jawa Barat,Online
TX-10130,2026-01-04,CUST-0786,Groceries,Beras Premium 5kg,2,74000,0,148000,GoPay,Jabodetabek,Offline
TX-10131,2026-01-04,CUST-0087,Home Living,Rak Sepatu Minimalis,4,125000,0,500000,Cash,Jabodetabek,Offline
TX-10132,2026-01-05,CUST-0870,Electronics,Blender Miyako,3,280000,0,840000,GoPay,Jabodetabek,Online
TX-10133,2026-01-05,CUST-0154,Groceries,Beras Premium 5kg,1,74000,10000,64000,OVO,Jawa Timur,Online
TX-10134,2026-01-05,CUST-0517,Groceries,Indomie Goreng 1 Dus,2,115000,0,230000,OVO,Jabodetabek,Online
TX-10135,2026-01-05,CUST-0562,Fashion,Kaos Polos Cotton,2,85000,0,170000,GoPay,Jawa Tengah,Online
TX-10136,2026-01-05,CUST-0500,Fashion,Hijab Voal Square,1,45000,0,45000,Cash,Kalimantan,Offline
TX-10137,2026-01-05,CUST-0700,Groceries,Sirup Cocopandan,1,22000,5000,17000,GoPay,Jabodetabek,Online
TX-10138,2026-01-05,CUST-0025,Electronics,Kipas Angin Cosmos,2,320000,0,640000,Cash,Kalimantan,Offline
TX-10139,2026-01-05,CUST-0375,Groceries,Susu UHT Cokelat 1L,1,18500,0,18500,GoPay,Sumatera,Online
TX-10140,2026-01-05,CUST-0949,Groceries,Susu UHT Cokelat 1L,1,18500,0,18500,OVO,Jawa Tengah,Online
TX-10141,2026-01-05,CUST-0904,Groceries,Sirup Cocopandan,3,22000,0,66000,Credit Card,Jawa Barat,Offline
TX-10142,2026-01-05,CUST-0685,Groceries,Sirup Cocopandan,3,22000,0,66000,GoPay,Jabodetabek,Online
TX-10143,2026-01-05,CUST-0278,Groceries,Beras Premium 5kg,2,74000,10000,138000,GoPay,Jabodetabek,Offline
TX-10144,2026-01-05,CUST-0020,Groceries,Beras Premium 5kg,2,74000,5000,143000,Transfer BCA,Jawa Barat,Offline
TX-10145,2026-01-05,CUST-0612,Fashion,Kemeja Batik Pria,1,180000,0,180000,Cash,Jawa Barat,Offline
TX-10146,2026-01-05,CUST-0891,Groceries,Indomie Goreng 1 Dus,2,115000,0,230000,Cash,Jabodetabek,Offline
TX-10147,2026-01-05,CUST-0828,Groceries,Minyak Goreng 2L,3,38000,0,114000,Credit Card,Jabodetabek,Offline
TX-10148,2026-01-05,CUST-0972,Groceries,Kopi Susu Aren 1L,2,65000,0,130000,OVO,Jawa Timur,Online
TX-10149,2026-01-05,CUST-0628,Home Living,Wajan Teflon Anti Lengket,5,185000,2000,923000,ShopeePay,Jabodetabek,Online
TX-10150,2026-01-05,CUST-0135,Groceries,Kopi Susu Aren 1L,3,65000,0,195000,Cash,Jawa Tengah,Offline
TX-10151,2026-01-05,CUST-0537,Home Living,Bantal Kepala Serat Silikon,1,60000,0,60000,GoPay,Jawa Barat,Online
TX-10152,2026-01-05,CUST-0737,Groceries,Susu UHT Cokelat 1L,1,18500,0,18500,Cash,Jawa Tengah,Offline
TX-10153,2026-01-05,CUST-0454,Electronics,Rice Cooker Yong Ma,1,650000,0,650000,ShopeePay,Jabodetabek,Online
TX-10154,2026-01-05,CUST-0274,Electronics,"Smart TV Xiaomi 32""",1,1990000,0,1990000,GoPay,Jabodetabek,Online
TX-10155,2026-01-05,CUST-0138,Fashion,Hijab Voal Square,2,45000,0,90000,Cash,Jabodetabek,Offline
TX-10156,2026-01-05,CUST-0308,Groceries,Indomie Goreng 1 Dus,1,115000,0,115000,ShopeePay,Sulawesi,Online
TX-10157,2026-01-05,CUST-0324,Groceries,Indomie Goreng 1 Dus,5,115000,0,575000,Cash,Sumatera,Offline
TX-10158,2026-01-05,CUST-0623,Electronics,Air Fryer Philips,3,1200000,0,3600000,GoPay,Jawa Barat,Offline
TX-10159,2026-01-05,CUST-0897,Electronics,Blender Miyako,2,280000,0,560000,Credit Card,Jawa Tengah,Online
TX-10160,2026-01-05,CUST-0406,Home Living,Sprei Microfiber King,3,145000,0,435000,Cash,Jawa Tengah,Offline
TX-10161,2026-01-05,CUST-0906,Groceries,Susu UHT Cokelat 1L,2,18500,5000,32000,OVO,Jawa Barat,Online
TX-10162,2026-01-05,CUST-0738,Groceries,Sirup Cocopandan,1,22000,6600,15400,Cash,Sulawesi,Offline
TX-10163,2026-01-05,CUST-0462,Groceries,Indomie Goreng 1 Dus,3,115000,0,345000,Cash,Sumatera,Offline
TX-10164,2026-01-06,CUST-0929,Electronics,Kipas Angin Cosmos,3,320000,0,960000,GoPay,Jabodetabek,Offline
TX-10165,2026-01-06,CUST-0625,Electronics,"Smart TV Xiaomi 32""",3,1990000,0,5970000,ShopeePay,Jabodetabek,Online
TX-10166,2026-01-06,CUST-0580,Home Living,Wajan Teflon Anti Lengket,1,185000,0,185000,Cash,Jabodetabek,Offline
TX-10167,2026-01-06,CUST-0726,Groceries,Kopi Susu Aren 1L,1,65000,0,65000,ShopeePay,Kalimantan,Online
TX-10168,2026-01-06,CUST-0821,Home Living,Sprei Microfiber King,3,145000,0,435000,Cash,Jabodetabek,Offline
TX-10169,2026-01-06,CUST-0082,Electronics,Blender Miyako,1,280000,0,280000,Transfer BCA,Jabodetabek,Offline
TX-10170,2026-01-06,CUST-0300,Groceries,Beras Premium 5kg,4,74000,2000,294000,Cash,Jawa Timur,Offline
TX-10171,2026-01-06,CUST-0051,Groceries,Kopi Susu Aren 1L,1,65000,0,65000,GoPay,Jawa Barat,Offline
TX-10172,2026-01-06,CUST-0182,Home Living,Rak Sepatu Minimalis,2,125000,5000,245000,Transfer BCA,Jabodetabek,Offline
TX-10173,2026-01-06,CUST-0864,Fashion,Gamis Muslimah Premium,2,350000,10000,690000,OVO,Sumatera,Online
TX-10174,2026-01-06,CUST-0332,Electronics,Blender Miyako,2,280000,0,560000,Credit Card,Jawa Timur,Offline
TX-10175,2026-01-06,CUST-0522,Groceries,Sirup Cocopandan,3,22000,0,66000,GoPay,Jabodetabek,Offline
TX-10176,2026-01-06,CUST-0505,Home Living,Wajan Teflon Anti Lengket,3,185000,0,555000,OVO,Jabodetabek,Online
TX-10177,2026-01-06,CUST-0756,Home Living,Bantal Kepala Serat Silikon,2,60000,5000,115000,Cash,Jawa Barat,Offline
TX-10178,2026-01-06,CUST-0440,Groceries,Minyak Goreng 2L,2,38000,0,76000,Cash,Jawa Barat,Offline
TX-10179,2026-01-06,CUST-0637,Electronics,"Smart TV Xiaomi 32""",1,1990000,0,1990000,Transfer BCA,Jabodetabek,Offline
TX-10180,2026-01-06,CUST-0486,Electronics,Kipas Angin Cosmos,2,320000,5000,635000,Cash,Sumatera,Offline
TX-10181,2026-01-06,CUST-0424,Home Living,Sprei Microfiber King,3,145000,0,435000,OVO,Jawa Timur,Online
TX-10182,2026-01-06,CUST-0541,Electronics,Rice Cooker Yong Ma,2,650000,0,1300000,Credit Card,Jabodetabek,Online
TX-10183,2026-01-06,CUST-0863,Groceries,Sirup Cocopandan,2,22000,2000,42000,OVO,Sumatera,Offline
TX-10184,2026-01-06,CUST-0047,Groceries,Minyak Goreng 2L,5,38000,0,190000,Cash,Jabodetabek,Offline
TX-10185,2026-01-06,CUST-0180,Groceries,Minyak Goreng 2L,1,38000,0,38000,OVO,Jabodetabek,Online
TX-10186,2026-01-06,CUST-0195,Groceries,Indomie Goreng 1 Dus,3,115000,0,345000,ShopeePay,Jabodetabek,Online
TX-10187,2026-01-06,CUST-0862,Electronics,Kipas Angin Cosmos,1,320000,0,320000,GoPay,Jawa Barat,Offline
TX-10188,2026-01-06,CUST-0075,Electronics,"Smart TV Xiaomi 32""",1,1990000,0,1990000,ShopeePay,Sumatera,Online
TX-10189,2026-01-06,CUST-0024,Fashion,Gamis Muslimah Premium,3,350000,0,1050000,GoPay,Jabodetabek,Online
TX-10190,2026-01-06,CUST-0721,Electronics,Rice Cooker Yong Ma,1,650000,2000,648000,GoPay,Jabodetabek,Offline
TX-10191,2026-01-06,CUST-0566,Fashion,Gamis Muslimah Premium,1,350000,0,350000,Cash,Jawa Tengah,Offline
TX-10192,2026-01-06,CUST-0554,Fashion,Kaos Polos Cotton,1,85000,10000,75000,GoPay,Jabodetabek,Online
TX-10193,2026-01-06,CUST-0989,Electronics,Air Fryer Philips,3,1200000,0,3600000,ShopeePay,Jabodetabek,Online
TX-10194,2026-01-06,CUST-0081,Home Living,Bantal Kepala Serat Silikon,3,60000,10000,170000,GoPay,Jawa Barat,Offline
TX-10195,2026-01-06,CUST-0477,Fashion,Kemeja Batik Pria,1,180000,0,180000,Cash,Jawa Barat,Offline
TX-10196,2026-01-06,CUST-0682,Groceries,Susu UHT Cokelat 1L,2,18500,0,37000,OVO,Jabodetabek,Online
TX-10197,2026-01-06,CUST-0290,Electronics,"Smart TV Xiaomi 32""",3,1990000,2000,5968000,Cash,Jabodetabek,Offline
TX-10198,2026-01-06,CUST-0073,Electronics,"Smart TV Xiaomi 32""",2,1990000,0,3980000,GoPay,Jabodetabek,Offline
TX-10199,2026-01-07,CUST-0556,Groceries,Beras Premium 5kg,3,74000,0,222000,Cash,Kalimantan,Offline
TX-10200,2026-01-07,CUST-0178,Electronics,Blender Miyako,3,280000,0,840000,GoPay,Jawa Barat,Offline
TX-10201,2026-01-07,CUST-0569,Groceries,Indomie Goreng 1 Dus,1,115000,0,115000,GoPay,Jabodetabek,Offline
TX-10202,2026-01-07,CUST-0840,Fashion,Celana Chino Slimfit,3,195000,0,585000,Transfer BCA,Jabodetabek,Offline
TX-10203,2026-01-07,CUST-0652,Home Living,Wajan Teflon Anti Lengket,3,185000,10000,545000,Cash,Jabodetabek,Offline
TX-10204,2026-01-07,CUST-0522,Groceries,Beras Premium 5kg,2,74000,0,148000,Transfer BCA,Sulawesi,Offline
TX-10205,2026-01-07,CUST-0597,Groceries,Sirup Cocopandan,5,22000,0,110000,Transfer BCA,Sumatera,Online
TX-10206,2026-01-07,CUST-0001,Electronics,Rice Cooker Yong Ma,1,650000,0,650000,ShopeePay,Sumatera,Online
TX-10207,2026-01-07,CUST-0522,Electronics,Air Fryer Philips,2,1200000,0,2400000,GoPay,Jabodetabek,Online
TX-10208,2026-01-07,CUST-0864,Home Living,Bantal Kepala Serat Silikon,1,60000,0,60000,GoPay,Sumatera,Online
TX-10209,2026-01-07,CUST-0148,Electronics,Air Fryer Philips,3,1200000,0,3600000,ShopeePay,Kalimantan,Online
TX-10210,2026-01-07,CUST-0467,Home Living,Bantal Kepala Serat Silikon,3,60000,10000,170000,Cash,Jabodetabek,Offline
TX-10211,2026-01-07,CUST-0686,Electronics,"Smart TV Xiaomi 32""",2,1990000,0,3980000,Cash,Jabodetabek,Offline
TX-10212,2026-01-07,CUST-0376,Groceries,Minyak Goreng 2L,3,38000,0,114000,Credit Card,Jabodetabek,Offline
TX-10213,2026-01-07,CUST-0881,Home Living,Rak Sepatu Minimalis,2,125000,0,250000,Cash,Jawa Barat,Offline
TX-10214,2026-01-07,CUST-0680,Home Living,Sprei Microfiber King,3,145000,0,435000,GoPay,Jawa Tengah,Online
